precinct,year,stop_count
1.0,2010,25919
1.0,2011,41384
1.0,2012,37537
1.0,2013,38176
1.0,2014,32650
1.0,2015,36661
1.0,2016,31373
1.0,2017,33065
1.0,2018,27911
1.0,2019,1414
2.0,2010,31048
2.0,2011,49663
2.0,2012,59363
2.0,2013,51700
2.0,2014,46823
2.0,2015,36315
2.0,2016,32753
2.0,2017,37746
2.0,2018,32096
2.0,2019,1946
3.0,2010,42411
3.0,2011,56879
3.0,2012,65998
3.0,2013,56230
3.0,2014,49201
3.0,2015,40992
3.0,2016,38490
3.0,2017,42420
3.0,2018,30136
3.0,2019,2910
4.0,2010,19411
4.0,2011,24355
4.0,2012,34072
4.0,2013,32820
4.0,2014,30772
4.0,2015,30214
4.0,2016,21608
4.0,2017,24134
4.0,2018,17016
4.0,2019,1166
5.0,2010,45956
5.0,2011,48496
5.0,2012,56495
5.0,2013,54814
5.0,2014,63227
5.0,2015,54877
5.0,2016,48530
5.0,2017,41354
5.0,2018,34978
5.0,2019,2787
6.0,2010,30284
6.0,2011,40037
6.0,2012,54480
6.0,2013,46693
6.0,2014,34497
6.0,2015,22918
6.0,2016,20387
6.0,2017,17694
6.0,2018,17314
6.0,2019,1087
7.0,2010,16507
7.0,2011,24762
7.0,2012,35589
7.0,2013,25730
7.0,2014,22811
7.0,2015,18959
7.0,2016,16317
7.0,2017,16854
7.0,2018,16309
7.0,2019,693
8.0,2010,43410
8.0,2011,59435
8.0,2012,68039
8.0,2013,56527
8.0,2014,51585
8.0,2015,45625
8.0,2016,32324
8.0,2017,31609
8.0,2018,27997
8.0,2019,2219
